COMPOSER,TITLE,PATH
Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19 ",2017/MIDI-Unprocessed_079_PIANO079_MID--AUDIO-split_07-09-17_Piano-e_1-04_wav--4.midi
Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.midi
Alexander Scriabin,"Sonata No. 4 in F-sharp Major ,Op.30",2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.midi
Alexander Scriabin,"Sonata No. 5 in F-sharp Minor, Op. 53",2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi
Alexander Scriabin,"Sonata No. 5, Op. 53",2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.midi
Alexander Scriabin,Sonata No. 9,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.midi
Alexander Scriabin,"Sonata No. 9, Op. 68",2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.midi
Alexander Scriabin,"Sonata No. 9, Op. 68, Black Mass",2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.midi
Alexander Scriabin,"Two Impromptus, Op. 14 ",2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.midi
Alexander Scriabin,"Waltz, Op. 38",2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.midi
Antonio Soler,Sonata No. 10 in B Minor,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_01_WAV.midi
Carl Maria von Weber,"Sonata No. 1, 2nd, 3rd and 4th movements",2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.midi
"Charles Gounod, Franz Liszt",Faust Waltz,2006/MIDI-Unprocessed_08_R1_2006_01-04_ORIG_MID--AUDIO_08_R1_2006_Disk1_01_Track01_wav.midi
Claude Debussy,Feux d'artifice from Book II,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.midi
Claude Debussy,"Images, Series I",2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.midi
Claude Debussy,"Les collines d'Anacapri from Preludes, Book I",2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.midi
Claude Debussy,Ondine from Book II,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.midi
Claude Debussy,"Voiles from Preludes, Book I",2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.midi
Claude Debussy,"Barcarolle, Op. 60",2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--3.midi
Claude Debussy,Bruyeres,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_03_Track03_wav.midi
Claude Debussy,Estampes ,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4.midi
Claude Debussy,Etude Pour le arpeges composes,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_02_WAV.midi
Claude Debussy,Etude Pour les accords,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_04_WAV.midi
Claude Debussy,Etude Pour les huit doigts,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_03_WAV.midi
Claude Debussy,"Etude No. 6, Book I, Pour les huits doigts",2008/MIDI-Unprocessed_11_R2_2008_01-05_ORIG_MID--AUDIO_11_R2_2008_wav--2.midi
Claude Debussy,Etude No. 7 Study in Chromatic Steps,2004/MIDI-Unprocessed_SMF_17_R1_2004_03-06_ORIG_MID--AUDIO_20_R2_2004_12_Track12_wav--1.midi
Claude Debussy,Feux d'artifice,2006/MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_02_Track02_wav.midi
Claude Debussy,Four Preludes,2006/MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_03_Track03_wav.midi
Claude Debussy,Image (Book II),2004/MIDI-Unprocessed_XP_08_R1_2004_03_ORIG_MID--AUDIO_08_R1_2004_03_Track03_wav.midi
Claude Debussy,"Images Book 1 , L 110",2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--4.midi
Claude Debussy,Images Book II,2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_02_Track02_wav.midi
Claude Debussy,"Images, Book I",2009/MIDI-Unprocessed_15_R1_2009_03-06_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_03_WAV.midi
Claude Debussy,"Images, Book I, Reflets dans l'eau",2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--4.midi
Claude Debussy,"Images, Book II",2018/MIDI-Unprocessed_Recital20_MID--AUDIO_20_R1_2018_wav--3.midi
Claude Debussy,"Images, Book II, Poissons d'or",2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--5.midi
Claude Debussy,Jardins sous la pluie from Estampes,2011/MIDI-Unprocessed_04_R3_2011_MID--AUDIO_R3-D2_05_Track05_wav.midi
Claude Debussy,L'Isle Joyeuse,2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_10_Track10_wav.midi
Claude Debussy,"L'isle joyeuse, L. 106",2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--4.midi
Claude Debussy,Les Collines d'Anacapri from Book I,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--2.midi
Claude Debussy,Pagodas from Estampes No. 1,2008/MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--3.midi
Claude Debussy,Pour le piano ,2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3.midi
Claude Debussy,Prelude No. 24 Fireworks,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--1.midi
Claude Debussy,"Prelude No. 6, Book I, Des pas sur la neige",2018/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--3.midi
Claude Debussy,"Prelude No. 7, Book II, La terrasse des audiences du clair de lune",2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--3.midi
Claude Debussy,"Preludes No. 2, 6, 12",2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.midi
Claude Debussy,"Preludes, Book II, III - La puerta del vino",2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--2.midi
Claude Debussy,"Preludes, Book II, L 123 ",2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_08_R1_2014_wav--2.midi
Claude Debussy,"Preludes, Book II, VII - La terasse des audiences du clair de lune",2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--3.midi
Claude Debussy,PreludesBII/7-12,2006/MIDI-Unprocessed_04_R1_2006_01-04_ORIG_MID--AUDIO_04_R1_2006_02_Track02_wav.midi
Claude Debussy,SuiteBergamasque,2006/MIDI-Unprocessed_03_R1_2006_01-05_ORIG_MID--AUDIO_03_R1_2006_04_Track04_wav.midi
Claude Debussy,Three Etudes,2006/MIDI-Unprocessed_05_R1_2006_01-05_ORIG_MID--AUDIO_05_R1_2006_02_Track02_wav.midi
Domenico Scarlatti,Sonata K. 466,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--3.midi
Domenico Scarlatti,Sonata K. 525,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--2.midi
Domenico Scarlatti,Sonata K. 54,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--1.midi
Domenico Scarlatti,"Sonata in A Major, K. 208",2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_01_R1_2014_wav--2.midi
Domenico Scarlatti,"Sonata in B Minor, K. 197",2009/MIDI-Unprocessed_14_R1_2009_01-05_ORIG_MID--AUDIO_14_R1_2009_14_R1_2009_04_WAV.midi
Domenico Scarlatti,"Sonata in B Minor, K. 27",2009/MIDI-Unprocessed_01_R1_2009_01-04_ORIG_MID--AUDIO_01_R1_2009_01_R1_2009_01_WAV.midi
Domenico Scarlatti,"Sonata in B Minor, K. 87",2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_13_R1_2014_wav--1.midi
Domenico Scarlatti,"Sonata in B Minor, L. 33",2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_02_WAV.midi
Domenico Scarlatti,"Sonata in C Major, K. 132",2014/MIDI-UNPROCESSED_19-21_R3_2014_MID--AUDIO_21_R3_2014_wav--1.midi
Domenico Scarlatti,"Sonata in C Major, K. 179",2009/MIDI-Unprocessed_14_R1_2009_01-05_ORIG_MID--AUDIO_14_R1_2009_14_R1_2009_03_WAV.midi
Domenico Scarlatti,"Sonata in C Major, K. 513",2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--2.midi
Domenico Scarlatti,"Sonata in C Minor, K. 84",2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--1.midi
Domenico Scarlatti,"Sonata in D Major, K. 118",2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_01_R1_2014_wav--1.midi
Domenico Scarlatti,"Sonata in D Major, K. 119",2009/MIDI-Unprocessed_01_R1_2009_01-04_ORIG_MID--AUDIO_01_R1_2009_01_R1_2009_02_WAV.midi
Domenico Scarlatti,"Sonata in D Major, K. 145",2014/MIDI-UNPROCESSED_19-21_R3_2014_MID--AUDIO_21_R3_2014_wav--2.midi
Domenico Scarlatti,"Sonata in D Major, K. 430",2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_13_R1_2014_wav--2.midi
Domenico Scarlatti,"Sonata in D Major, K. 576",2009/MIDI-Unprocessed_02_R1_2009_01-02_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_01_WAV.midi
Domenico Scarlatti,"Sonata in D Major, K. 96 L. 465",2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--2.midi
Domenico Scarlatti,"Sonata in D Major, K96",2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--3.midi
Domenico Scarlatti,"Sonata in D Minor, K. 1",2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_04_R1_2014_wav--1.midi
Domenico Scarlatti,"Sonata in D Minor, K. 141",2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_11_R1_2014_wav--2.midi
Domenico Scarlatti,"Sonata in D Minor, K. 213",2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_09_R1_2018_wav--5.midi
Domenico Scarlatti,"Sonata in D Minor, K. 9",2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_11_R1_2014_wav--1.midi
Domenico Scarlatti,"Sonata in D Minor, K. 9 L. 413",2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--1.midi
Domenico Scarlatti,"Sonata in F Minor, K. 466",2017/MIDI-Unprocessed_083_PIANO083_MID--AUDIO-split_07-09-17_Piano-e_2_-06_wav--1.midi
Domenico Scarlatti,"Sonata in G Major, K. 146",2009/MIDI-Unprocessed_14_R1_2009_01-05_ORIG_MID--AUDIO_14_R1_2009_14_R1_2009_05_WAV.midi
Domenico Scarlatti,"Sonata in G Major, K. 455",2017/MIDI-Unprocessed_083_PIANO083_MID--AUDIO-split_07-09-17_Piano-e_2_-06_wav--2.midi
Domenico Scarlatti,"Sonata, K239",2004/MIDI-Unprocessed_XP_04_R1_2004_03-05_ORIG_MID--AUDIO_04_R1_2004_06_Track06_wav.midi
Domenico Scarlatti,Two Sonatas,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_02_Track02_wav.midi
Edvard Grieg,"Lyric Piece in A Minor, “Waltz,” Op. 12 No. 2",2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--1.midi
Edvard Grieg,"Lyric Piece in E Minor, “Valse-Impromptu,” Op. 47 No.1",2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--3.midi
Edvard Grieg,"Lyric Piece in E Minor, “Waltz,” Op. 38 No. 7",2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--2.midi
Felix Mendelssohn,Etude in A Minor,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--3.midi
Felix Mendelssohn,"Fantasy in F-sharp Minor, Op. 28 ",2017/MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--4.midi
Felix Mendelssohn,"Rondo Capriccioso in E Minor, Op. 14",2011/MIDI-Unprocessed_16_R1_2011_MID--AUDIO_R1-D6_15_Track15_wav.midi
Felix Mendelssohn,Variations Serieuses Op. 54,2017/MIDI-Unprocessed_070_PIANO070_MID--AUDIO-split_07-08-17_Piano-e_1-02_wav--3.midi
Felix Mendelssohn,"Variations Serieuses, Op. 54",2008/MIDI-Unprocessed_08_R3_2008_01-05_ORIG_MID--AUDIO_08_R3_2008_wav--3.midi
Felix Mendelssohn,"Variations Seriouses, Op. 54",2011/MIDI-Unprocessed_16_R3_2011_MID--AUDIO_R3-D5_02_Track02_wav.midi
Felix Mendelssohn,"Variations sérieuses, Op. 54",2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_06_R2_2015_wav--2.midi
"Felix Mendelssohn, Sergei Rachmaninoff",Scherzo,2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_06_Track06_wav.midi
"Felix Mendelssohn, Sergei Rachmaninoff",Scherzo from A Midsummer Night's Dream,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_05_Track05_wav.midi
"Felix Mendelssohn, Sergei Rachmaninoff",Scherzo from Mendelssohn's Midsummer Night's Dream,2008/MIDI-Unprocessed_08_R2_2008_01-04_ORIG_MID--AUDIO_08_R2_2008_wav--4.midi
Franz Liszt,La Campanella,2008/MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--3.midi
Franz Liszt,Annes de Pelerinage III: Le jeux d'eau a la Villa d'Este,2011/MIDI-Unprocessed_17_R2_2011_MID--AUDIO_R2-D5_03_Track03_wav.midi
Franz Liszt,"Après une lecture de Dante: Fantasia quasi Sonata, S.161, No. 7",2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--2.midi
Franz Liszt,"Aprés une lecture de Dante: Fantasia quasi Sonata, S.161, No. 7",2014/MIDI-UNPROCESSED_04-08-12_R3_2014_MID--AUDIO_04_R3_2014_wav--1.midi
Franz Liszt,Au bord d'une source,2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--4.midi
Franz Liszt,"Ballade No. 2 in B Minor, S 171",2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_04_R2_2013_wav--3.midi
Franz Liszt,"Ballade No. 2 in B Minor, S. 171",2011/MIDI-Unprocessed_16_R2_2011_MID--AUDIO_R2-D4_08_Track08_wav.midi
Franz Liszt,Concert Etude Gnomenreigen,2008/MIDI-Unprocessed_14_R1_2008_01-05_ORIG_MID--AUDIO_14_R1_2008_wav--3.midi
Franz Liszt,Concert Etude La Leggierezza,2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--4.midi
Franz Liszt,Concert Etude Un Sospiro,2008/MIDI-Unprocessed_11_R2_2008_01-05_ORIG_MID--AUDIO_11_R2_2008_wav--5.midi
Franz Liszt,Concert Etude Waldesrauschen,2008/MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--3.midi
Franz Liszt,Concert Etude No. 2 Gnomenreigen,2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--5.midi
Franz Liszt,"Concert Etude No. 2 La Leggierezza, S. 144",2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_16_R1_2015_wav--3.midi
Franz Liszt,"Concert Etude No. 2, Gnomenreigen, S. 145/2",2011/MIDI-Unprocessed_02_R1_2011_MID--AUDIO_R1-D1_10_Track10_wav.midi
Franz Liszt,"Concert Etude No. 2, La Leggierezza, S. 144/2",2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_18_Track18_wav.midi
Franz Liszt,"Concert Etude No. 2, “La leggierezza, S. 144",2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--5.midi
Franz Liszt,"Concert Etude No. 3 in D-flat Major, Un Sospiro, S. 144/3",2011/MIDI-Unprocessed_04_R3_2011_MID--AUDIO_R3-D2_03_Track03_wav.midi
Franz Liszt,Dante Sonata,2004/MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_17_Track17_wav.midi
Franz Liszt,Funerailles,2006/MIDI-Unprocessed_09_R1_2006_01-04_ORIG_MID--AUDIO_09_R1_2006_01_Track01_wav.midi
Franz Liszt,"Grandes Etudes de Paganini, S. 141",2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--3.midi
Franz Liszt,"Grandes ètudes de Paganini No. 3 La Campanella, S. 141",2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_01_R1_2015_wav--5.midi
Franz Liszt,"Grandes études de Paganini, No. 3 La campanella, S.141/3",2017/MIDI-Unprocessed_046_PIANO046_MID--AUDIO-split_07-06-17_Piano-e_2-02_wav--3.midi
Franz Liszt,Hungarian Rhapsody,2009/MIDI-Unprocessed_12_R1_2009_03-05_ORIG_MID--AUDIO_12_R1_2009_12_R1_2009_05_WAV.midi
Franz Liszt,"Hungarian Rhapsody No. 10 in E-flat Major, S. 244/10",2015/MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_22_R1_2015_wav--5.midi
Franz Liszt,"Hungarian Rhapsody No. 10, S. 244/10",2011/MIDI-Unprocessed_23_R2_2011_MID--AUDIO_R2-D6_04_Track04_wav.midi
Franz Liszt,"Hungarian Rhapsody No. 12, S. 244/12",2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_19_Track19_wav.midi
Franz Liszt,Hungarian Rhapsody No. 13 (arr. Volodos),2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_14_R2_2013_wav--4.midi
Franz Liszt,"Hungarian Rhapsody No. 13, S. 244/13",2011/MIDI-Unprocessed_10_R1_2011_MID--AUDIO_R1-D4_05_Track05_wav.midi
Franz Liszt,Hungarian Rhapsody No. 15 in A Minor,2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--5.midi
Franz Liszt,"Hungarian Rhapsody No. 2 in C-sharp Minor, S. 244/2",2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_03_R1_2015_wav--4.midi
Franz Liszt,"Hungarian Rhapsody No. 6, S.244/6",2017/MIDI-Unprocessed_043_PIANO043_MID--AUDIO-split_07-06-17_Piano-e_1-03_wav--4.midi
Franz Liszt,Hungarian Rhapsody No. 9,2008/MIDI-Unprocessed_04_R1_2008_01-04_ORIG_MID--AUDIO_04_R1_2008_wav--4.midi
Franz Liszt,"Hungarian Rhapsody No. 9 in E-flat Major, S. 244",2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_13_R2_2015_wav--4.midi
Franz Liszt,"Hungarian Rhapsody, No. 12",2004/MIDI-Unprocessed_XP_11_R1_2004_03-04_ORIG_MID--AUDIO_11_R1_2004_04_Track04_wav.midi
Franz Liszt,Mephisto Waltz,2006/MIDI-Unprocessed_02_R1_2006_01-04_ORIG_MID--AUDIO_02_R1_2006_03_Track03_wav.midi
Franz Liszt,Mephisto Waltz No. 1,2004/MIDI-Unprocessed_SMF_05_R1_2004_02-03_ORIG_MID--AUDIO_05_R1_2004_06_Track06_wav.midi
Franz Liszt,"Mephisto Waltz No. 1, S.514",2014/MIDI-UNPROCESSED_04-08-12_R3_2014_MID--AUDIO_04_R3_2014_wav--2.midi
Franz Liszt,Mephisto-Waltz No. 1,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--3.midi
Franz Liszt,"Paganini Etude No. 3, S. 141/3 La Campanella",2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_02_R1_2013_wav--5.midi
Franz Liszt,"Paraphrase de concert sur Rigoletto, S.434",2017/MIDI-Unprocessed_067_PIANO067_MID--AUDIO-split_07-07-17_Piano-e_3-03_wav--4.midi
Franz Liszt,Polonaise in E Major,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--4.midi
Franz Liszt,Rem. of Don Juan,2006/MIDI-Unprocessed_07_R1_2006_01-04_ORIG_MID--AUDIO_07_R1_2006_04_Track04_wav.midi
Franz Liszt,Rhapsodie Espagnole,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--4.midi
Franz Liszt,Rhapsodie Espagnole S.254,2011/MIDI-Unprocessed_25_R3_2011_MID--AUDIO_R3-D9_06_Track06_wav.midi
Franz Liszt,"Rhapsodie Espagnole, S. 254",2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_17_R2_2013_wav--3.midi
Franz Liszt,"Rhapsodie Espagnole, S.254",2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_17_R1_2014_wav--2.midi
Franz Liszt,Rhapsody Esp.,2006/MIDI-Unprocessed_04_R1_2006_01-04_ORIG_MID--AUDIO_04_R1_2006_03_Track03_wav.midi
Franz Liszt,Rigoletto Paraphrase,2009/MIDI-Unprocessed_15_R1_2009_03-06_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_06_WAV.midi
Franz Liszt,"Rigoletto Paraphrase, S. 434",2011/MIDI-Unprocessed_09_R2_2011_MID--AUDIO_R2-D3_03_Track03_wav.midi
Franz Liszt,Rigoletto-Paraphrase,2008/MIDI-Unprocessed_03_R1_2008_01-04_ORIG_MID--AUDIO_03_R1_2008_wav--4.midi
Franz Liszt,"Réminiscences de Don Juan, S.418",2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_13_R1_2014_wav--6.midi
Franz Liszt,"Sonata In B Minor, S. 178",2009/MIDI-Unprocessed_03_R1_2009_01-02_ORIG_MID--AUDIO_03_R1_2009_03_R1_2009_02_WAV.midi
Franz Liszt,Sonata in B Min.,2006/MIDI-Unprocessed_06_R1_2006_01-04_ORIG_MID--AUDIO_06_R1_2006_03_Track03_wav.midi
Franz Liszt,Sonetto 104 del Petrarca,2008/MIDI-Unprocessed_17_R1_2008_01-04_ORIG_MID--AUDIO_17_R1_2008_wav--4.midi
Franz Liszt,Sonetto 123 del Petrarca,2009/MIDI-Unprocessed_04_R1_2009_04-06_ORIG_MID--AUDIO_04_R1_2009_04_R1_2009_04_WAV.midi
Franz Liszt,Spanish Rhapsody,2004/MIDI-Unprocessed_XP_06_R1_2004_02-03_ORIG_MID--AUDIO_06_R1_2004_05_Track05_wav.midi
Franz Liszt,Tarantella,2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_18_R1_2015_wav--4.midi
Franz Liszt,Tarantella from Annees de Pelerinage 2eme Annee,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--3.midi
